iter	Passed	Remaining
0	138	138408
1	139	69766
2	140	46837
3	142	35412
4	143	28537
5	144	23943
6	145	20665
7	146	18209
8	148	16298
9	149	14781
10	150	13549
11	152	12517
12	153	11636
13	154	10876
14	155	10215
15	156	9643
16	158	9140
17	159	8687
18	160	8280
19	161	7913
20	162	7580
21	163	7284
22	165	7011
23	166	6756
24	167	6518
25	168	6302
26	169	6100
27	170	5912
28	171	5734
29	172	5570
30	173	5417
31	174	5273
32	175	5138
33	176	5010
34	177	4890
35	178	4781
36	179	4679
37	181	4583
38	182	4487
39	183	4393
40	184	4306
41	185	4224
42	186	4146
43	187	4071
44	188	3997
45	189	3929
46	190	3863
47	191	3803
48	192	3745
49	194	3694
50	195	3644
51	197	3596
52	198	3547
53	199	3502
54	201	3457
55	202	3412
56	203	3369
57	204	3327
58	206	3286
59	207	3247
60	208	3210
61	209	3174
62	211	3139
63	212	3105
64	213	3072
65	214	3039
66	216	3009
67	216	2970
68	217	2940
69	219	2911
70	220	2882
71	221	2856
72	222	2830
73	224	2804
74	225	2781
75	226	2757
76	228	2733
77	229	2708
78	230	2686
79	231	2664
80	232	2641
81	234	2620
82	235	2600
83	236	2579
84	237	2555
85	238	2536
86	239	2515
87	240	2496
88	242	2478
89	243	2459
90	244	2442
91	245	2424
92	246	2406
93	248	2390
94	249	2374
95	250	2358
96	251	2342
97	252	2327
98	254	2314
99	255	2301
100	257	2287
101	257	2268
102	258	2254
103	260	2240
104	261	2226
105	262	2213
106	263	2199
107	264	2186
108	265	2173
109	267	2160
110	268	2147
111	269	2136
112	271	2127
113	272	2116
114	273	2104
115	274	2092
116	275	2081
117	277	2070
118	278	2059
119	279	2048
120	280	2038
121	281	2028
122	282	2014
123	283	2004
124	284	1994
125	286	1985
126	287	1976
127	288	1964
128	289	1955
129	290	1946
130	292	1938
131	293	1929
132	294	1920
133	295	1911
134	297	1903
135	298	1894
136	299	1886
137	300	1878
138	301	1870
139	303	1862
140	304	1854
141	305	1846
142	306	1838
143	307	1830
144	309	1822
145	310	1814
146	311	1807
147	312	1800
148	314	1794
149	315	1788
150	316	1781
151	318	1774
152	319	1767
153	320	1761
154	322	1756
155	323	1751
156	325	1746
157	326	1739
158	327	1733
159	328	1727
160	330	1721
161	331	1714
162	332	1708
163	333	1701
164	335	1695
165	336	1688
166	337	1682
167	338	1676
168	339	1670
169	340	1663
170	341	1657
171	343	1651
172	344	1645
173	345	1639
174	346	1634
175	347	1628
176	349	1623
177	350	1617
178	351	1611
179	352	1605
180	353	1597
181	354	1591
182	355	1586
183	356	1580
184	357	1575
185	358	1570
186	360	1565
187	361	1559
188	362	1554
189	363	1548
190	364	1543
191	365	1538
192	366	1533
193	367	1528
194	369	1523
195	370	1518
196	371	1514
197	372	1509
198	373	1504
199	374	1499
200	376	1494
201	377	1490
202	378	1485
203	379	1481
204	380	1477
205	382	1472
206	383	1468
207	384	1464
208	385	1459
209	386	1455
210	387	1450
211	389	1446
212	390	1442
213	391	1438
214	392	1434
215	394	1430
216	395	1426
217	396	1421
218	397	1417
219	398	1412
220	399	1408
221	400	1404
222	401	1399
223	402	1395
224	403	1391
225	405	1387
226	406	1384
227	407	1380
228	408	1376
229	409	1372
230	410	1368
231	412	1364
232	413	1361
233	414	1357
234	415	1353
235	417	1350
236	418	1346
237	419	1342
238	420	1339
239	421	1335
240	422	1331
241	423	1328
242	425	1324
243	426	1320
244	427	1317
245	428	1314
246	429	1310
247	431	1307
248	432	1303
249	433	1300
250	434	1297
251	435	1293
252	437	1290
253	438	1286
254	439	1283
255	440	1280
256	441	1276
257	442	1273
258	443	1270
259	445	1266
260	446	1263
261	447	1259
262	448	1256
263	449	1253
264	451	1251
265	452	1248
266	453	1245
267	454	1241
268	455	1238
269	456	1235
270	458	1232
271	459	1228
272	460	1225
273	461	1222
274	462	1219
275	463	1217
276	465	1214
277	466	1211
278	467	1208
279	468	1205
280	470	1202
281	471	1199
282	472	1197
283	473	1194
284	474	1191
285	475	1188
286	477	1185
287	478	1182
288	479	1179
289	480	1176
290	481	1174
291	483	1171
292	484	1168
293	485	1165
294	486	1163
295	487	1160
296	489	1157
297	490	1155
298	491	1152
299	492	1149
300	493	1146
301	494	1143
302	496	1140
303	497	1138
304	498	1135
305	499	1132
306	500	1129
307	501	1127
308	502	1124
309	503	1121
310	505	1119
311	506	1116
312	507	1114
313	508	1111
314	509	1108
315	511	1106
316	512	1103
317	513	1101
318	514	1098
319	515	1096
320	517	1093
321	518	1090
322	519	1088
323	520	1085
324	521	1083
325	522	1080
326	523	1077
327	524	1075
328	526	1073
329	527	1070
330	528	1068
331	529	1065
332	531	1063
333	532	1061
334	533	1059
335	534	1056
336	536	1054
337	537	1052
338	538	1050
339	539	1047
340	540	1045
341	542	1042
342	543	1040
343	544	1038
344	545	1035
345	546	1033
346	547	1031
347	549	1028
348	550	1026
349	551	1023
350	552	1021
351	553	1019
352	554	1016
353	555	1014
354	556	1011
355	558	1009
356	559	1007
357	560	1004
358	561	1002
359	562	1000
360	563	998
361	565	995
362	566	993
363	567	991
364	568	988
365	569	986
366	570	984
367	572	982
368	573	980
369	574	977
370	575	975
371	576	973
372	577	971
373	578	969
374	580	966
375	581	964
376	582	962
377	583	960
378	585	958
379	586	956
380	587	954
381	588	952
382	589	950
383	590	947
384	592	945
385	593	943
386	594	941
387	595	939
388	596	937
389	597	935
390	599	933
391	600	931
392	601	929
393	602	927
394	603	925
395	605	923
396	606	920
397	607	918
398	608	916
399	609	914
400	610	912
401	611	910
402	613	908
403	614	906
404	615	904
405	616	902
406	617	900
407	619	898
408	620	896
409	621	894
410	622	892
411	623	890
412	624	888
413	626	886
414	627	884
415	628	882
416	629	880
417	630	878
418	632	876
419	633	874
420	634	872
421	635	870
422	636	868
423	637	866
424	639	864
425	640	862
426	641	861
427	642	859
428	644	857
429	645	855
430	646	853
431	647	851
432	649	849
433	650	847
434	651	846
435	652	844
436	653	842
437	654	840
438	656	838
439	657	836
440	658	834
441	659	832
442	660	830
443	661	828
444	662	826
445	664	824
446	665	823
447	666	821
448	667	819
449	669	818
450	670	816
451	671	814
452	672	812
453	674	810
454	675	808
455	676	807
456	677	805
457	679	803
458	680	802
459	682	800
460	683	799
461	684	797
462	686	795
463	687	794
464	688	792
465	689	790
466	691	788
467	692	786
468	693	784
469	694	783
470	695	781
471	696	779
472	697	777
473	699	775
474	700	773
475	701	772
476	702	770
477	703	768
478	704	766
479	706	764
480	707	763
481	708	761
482	709	759
483	710	757
484	711	755
485	712	754
486	714	752
487	715	750
488	716	748
489	717	746
490	718	744
491	719	743
492	721	741
493	722	739
494	723	738
495	724	736
496	725	734
497	726	732
498	728	731
499	729	729
500	730	727
501	731	725
502	732	724
503	733	722
504	735	720
505	736	718
506	737	717
507	738	715
508	739	713
509	740	711
510	742	710
511	743	708
512	744	706
513	745	705
514	746	703
515	748	701
516	749	699
517	750	698
518	751	696
519	752	694
520	753	693
521	755	691
522	756	689
523	757	688
524	758	686
525	759	684
526	760	682
527	761	681
528	763	679
529	764	677
530	765	676
531	766	674
532	767	672
533	769	671
534	770	669
535	771	667
536	772	666
537	773	664
538	774	662
539	775	660
540	776	659
541	778	657
542	779	655
543	780	654
544	781	652
545	783	651
546	784	649
547	785	647
548	786	646
549	787	644
550	789	643
551	790	641
552	791	639
553	792	638
554	793	636
555	795	634
556	796	633
557	797	631
558	798	630
559	799	628
560	801	626
561	802	625
562	803	623
563	804	621
564	805	620
565	806	618
566	807	616
567	809	615
568	810	613
569	811	612
570	813	610
571	814	609
572	815	607
573	816	605
574	817	604
575	818	602
576	819	601
577	821	599
578	822	597
579	823	596
580	824	594
581	825	593
582	827	591
583	828	590
584	829	588
585	830	587
586	832	585
587	833	583
588	834	582
589	835	580
590	836	579
591	837	577
592	838	575
593	840	574
594	841	572
595	842	571
596	843	569
597	844	567
598	845	566
599	846	564
600	848	563
601	849	561
602	850	559
603	851	558
604	852	556
605	853	555
606	855	553
607	856	552
608	857	550
609	858	548
610	859	547
611	860	545
612	861	544
613	863	542
614	864	541
615	865	539
616	866	537
617	867	536
618	869	534
619	870	533
620	871	531
621	872	530
622	873	528
623	874	527
624	875	525
625	877	524
626	878	522
627	879	520
628	880	519
629	881	517
630	882	516
631	883	514
632	884	513
633	886	511
634	887	510
635	888	508
636	889	506
637	890	505
638	891	503
639	893	502
640	894	500
641	895	499
642	896	497
643	897	496
644	898	494
645	899	493
646	901	491
647	902	490
648	903	488
649	904	487
650	905	485
651	906	483
652	907	482
653	909	480
654	910	479
655	911	477
656	912	476
657	913	474
658	914	473
659	916	471
660	917	470
661	918	468
662	919	467
663	920	465
664	921	464
665	923	462
666	924	461
667	925	460
668	926	458
669	927	457
670	929	455
671	930	454
672	931	452
673	932	451
674	933	449
675	935	448
676	936	446
677	937	445
678	938	443
679	939	442
680	940	440
681	942	439
682	943	437
683	944	436
684	945	434
685	946	433
686	947	431
687	949	430
688	950	428
689	951	427
690	952	426
691	953	424
692	955	423
693	956	421
694	957	420
695	958	418
696	959	417
697	960	415
698	961	414
699	963	412
700	964	411
701	965	409
702	966	408
703	967	406
704	968	405
705	969	403
706	970	402
707	971	400
708	972	399
709	974	397
710	975	396
711	976	394
712	977	393
713	978	392
714	980	390
715	981	389
716	982	387
717	983	386
718	985	384
719	986	383
720	987	382
721	988	380
722	989	379
723	991	377
724	992	376
725	993	374
726	994	373
727	996	372
728	997	370
729	998	369
730	999	367
731	1001	366
732	1002	365
733	1003	363
734	1004	362
735	1005	360
736	1007	359
737	1008	357
738	1009	356
739	1010	355
740	1012	353
741	1013	352
742	1014	350
743	1015	349
744	1017	348
745	1018	346
746	1019	345
747	1020	343
748	1022	342
749	1023	341
750	1024	339
751	1025	338
752	1027	336
753	1028	335
754	1029	334
755	1030	332
756	1031	331
757	1033	329
758	1034	328
759	1035	327
760	1036	325
761	1037	324
762	1038	322
763	1040	321
764	1041	319
765	1042	318
766	1043	317
767	1045	315
768	1046	314
769	1047	312
770	1048	311
771	1050	310
772	1051	308
773	1052	307
774	1053	305
775	1054	304
776	1055	303
777	1057	301
778	1058	300
779	1059	298
780	1060	297
781	1061	296
782	1063	294
783	1064	293
784	1065	291
785	1067	290
786	1068	289
787	1069	287
788	1070	286
789	1072	284
790	1073	283
791	1074	282
792	1075	280
793	1076	279
794	1078	277
795	1079	276
796	1080	275
797	1081	273
798	1082	272
799	1083	270
800	1085	269
801	1086	268
802	1087	266
803	1088	265
804	1089	264
805	1091	262
806	1092	261
807	1093	259
808	1094	258
809	1095	256
810	1096	255
811	1097	254
812	1099	252
813	1100	251
814	1101	250
815	1102	248
816	1103	247
817	1104	245
818	1106	244
819	1107	243
820	1108	241
821	1109	240
822	1110	238
823	1111	237
824	1113	236
825	1114	234
826	1115	233
827	1116	231
828	1117	230
829	1118	229
830	1120	227
831	1121	226
832	1122	225
833	1123	223
834	1124	222
835	1126	220
836	1127	219
837	1128	218
838	1129	216
839	1131	215
840	1132	214
841	1133	212
842	1134	211
843	1136	210
844	1137	208
845	1138	207
846	1139	205
847	1141	204
848	1142	203
849	1143	201
850	1145	200
851	1146	199
852	1147	197
853	1149	196
854	1150	195
855	1151	193
856	1152	192
857	1153	190
858	1155	189
859	1156	188
860	1157	186
861	1158	185
862	1159	184
863	1160	182
864	1161	181
865	1163	179
866	1164	178
867	1165	177
868	1166	175
869	1167	174
